"Division","Subject","Section","Type","Instructor","Capacity","Actual Registered","Registered","Seat Available","Room/Time","Final"
"SCI","ICPY441 Senior Project in Physics 6(0-12-6)","01","master","Piti Ongmongkolkul","10","1","1","9","","[Room-TBA]"
"FAA","ICAP204 3D Animation Design 4(4-0-8)","01","master","Aaron SCHMIDT","20","2","2","18","P315 (Tue 08:00 - 10:00)                 P315 (Thu 08:00 - 10:00)","[Room-TBA]"
"SS","ICSS271 An Introduction to International Relations 4(4-0-8)","01","joint","William Jones","20","9","9","11","1419 (Mon 16:00 - 17:50)                 1419 (Wed 16:00 - 17:50)","[Room-TBA]"
"HLD","ICHL148 French VIII for Hospitality and Tourism Industry 4(4-0-8)","01","joint","Bruno MAHON","20","1","1","8","5211 (Tue 14:00 - 15:50)                 5211 (Thu 14:00 - 15:50)","Tue 04-04-2017 14:00 - 15:50 [5211 - HLD Lecture Room]"
"SCI","ICSC304 Computer for Research 4(3-2-7)","01","master","Prayad POKETHITIYOOK","25","2","2","23","1513 (Tue 10:00 - 11:50)                 1513 (Thu 10:00 - 10:50)                 1513 (Thu 11:00 - 12:50)","[Room-TBA]"
"SS","ICSS113 Introduction to Sociology 4(4-0-8)","01","master","Peter Rodney Peatfield SMITH","40","36","36","4","1402 (Mon 10:00 - 11:50)                 1407 (Wed 10:00 - 11:50)","Wed 05-04-2017 10:00 - 11:50 [1406 - 1406]"
"FAA","ICEM113 Storytelling 4(4-0-8)","01","master","Mark Conrad RODELL","30","8","8","22","E3214 (Mon 10:00 - 12:00)                 E3214 (Wed 10:00 - 12:00)","[Room-TBA]"
"BBA","ICMB484 Special Topics in Business (4) 4(4-0-8)","01","master","Dispanadda DISKUL","20","12","12","8","3410 (Fri 14:00 - 15:50)                 3410 (Fri 16:00 - 17:50)","[Room-TBA]"
"THM","ICTM476 Wine Studies and Wine Tourism 4(3-2-7)","01","master","Ka tat Nixon CHEN","24","4","16","8","3415 (Tue 12:00 - 13:50)                 3415 (Thu 12:00 - 12:50)                 3415 (Thu 13:00 - 13:50)","Tue 04-04-2017 12:00 - 13:50 [3304 - Lecture Room]"
"SS","ICSA253 Thai Society and Culture 4(4-0-8)","01","master","Matthew Phillip COPELAND","40","14","38","2","2302 (Mon 10:00 - 11:50)                 2302 (Wed 10:00 - 11:50)","[Room-TBA]"
"THM","ICTM479 Lodging Safety and Security  4(4-0-8)","01","joint","Veerades PANVISAVAS","30","4","4","26","3303 (Mon 12:00 - 13:50)                 3303 (Wed 12:00 - 13:50)","Wed 05-04-2017 12:00 - 13:50 [Room-TBA]"
"THM","ICIH417 Lodging Safety and Security 4(4-0-8)","01","master","Veerades PANVISAVAS","40","9","13","27","3303 (Mon 12:00 - 13:50)                 3303 (Wed 12:00 - 13:50)","Wed 05-04-2017 12:00 - 13:50 [Room-TBA]"
"FAA","ICFP111 Film Production Studio I 4(0-8-4)","01","master","Rapatchanun COCHAPUTSUP","5","1","1","4","P317 (Tue 08:00 - 12:00)                 P317 (Thu 08:00 - 12:00)","[Room-TBA]"
