"Division","Subject","Section","Type","Instructor","Capacity","Actual Registered","Registered","Seat Available","Room/Time","Final"
"BBA","ICMB493 Directed Research 8(8-0-16)","01","master","Bhubate SAMUTACHAK","30","36","36","-6","1403 (Tue 12:00 - 13:50)                 1403 (Tue 14:00 - 15:50)                 1403 (Thu 12:00 - 13:50)                 1403 (Thu 14:00 - 15:50)","[Room-TBA]"
"HLD","ICPE109 Physical Education : Social Dance 1(0-3-1)","01","master","Pisit INTALANGKHANAPONG","24","22","22","2","3407 (Tue 12:00 - 13:50)","[Room-TBA]"
"FAA","ICCD111 Visual Dynamics II 4(0-8-4)","01","master","Carol SIATRAS","20","13","13","7","P322 (Tue 13:00 - 17:00)                 P322 (Thu 13:00 - 17:00)","[Room-TBA]"
"BBA","ICMB221 Principles of Marketing 4(4-0-8)","02","master","Chompunuch PONGJIT","40","40","40","0","1407 (Tue 10:00 - 11:50)                 1407 (Thu 10:00 - 11:50)","Tue 04-04-2017 18:00 - 19:50 [1419 - 1419]"
"BBA","ICBE447 Corporate Governance and Business Ethics 4(4-0-8)","02","joint","Roman MEINHOLD","40","6","6","-1","2308 (Mon 14:00 - 15:50)                 2308 (Wed 14:00 - 15:50)","[Room-TBA]"
"HLD","ICHL125 Chinese V for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Puvisa QIUJUAN","20","1","1","10","5209 (Mon 14:00 - 15:50)                 5209 (Wed 14:00 - 15:50)","Tue 04-04-2017 12:00 - 13:50 [1419 - 1419]"
"THM","ICHT301 Management and Organization Behavior 4(4-0-8)","02","joint","Michael NAGLIS","35","7","7","28","3420 (Tue 08:00 - 09:50)                 3420 (Thu 08:00 - 09:50)","Fri 07-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICML143 Elementary Spanish III 4(4-0-8)","02","master","Maria GUERRERO","20","13","18","2","5207 (Tue 12:00 - 13:50)                 5207 (Thu 12:00 - 13:50)","Tue 04-04-2017 12:00 - 13:50 [1404 - Lecture Room]"
"SCI","ICNS211 The Science of Food 4(4-0-8)","02","master","Nirutchara LAOHAPRASIT","25","24","24","1","3412 (Tue 12:00 - 13:50)                 3420 (Thu 12:00 - 13:50)","Mon 03-04-2017 14:00 - 15:50 [Room-TBA]"
"BBA","ICMB364 Operations Management 4(4-0-8)","02","master","Nassim DEHOUCHE","40","35","35","5","1513 (Wed 14:00 - 15:50)                 1513 (Fri 14:00 - 15:50)","Mon 03-04-2017 14:00 - 15:50 [1513 - Computer Lab]"
"SCI","ICCH224 Integrated Laboratory Techniques in Chemistry I 2(0-4-2)","02","master","Taweetham LIMPANUPARB","13","12","12","1","3504 (Fri 13:00 - 16:50)","Fri 07-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICHM103 Introduction to Logic 4(4-0-8)","02","master","Barbara Maria EKAMP","30","25","25","5","3422 (Tue 14:00 - 15:50)                 3422 (Thu 14:00 - 15:50)","Fri 07-04-2017 16:00 - 18:50 [1503 - Lecture Room]"
"SS","ICSS119 Introduction to International Studies 4(4-0-8)","02","master","Panlavee BOONPONGSA","40","30","30","10","1306 (Tue 14:00 - 15:50)                 1306 (Thu 14:00 - 15:50)","Tue 04-04-2017 18:00 - 19:50 [Room-TBA]"
"THM","ICTM400 Tourism Business Management 4(4-0-8)","02","master","Sompong AMNUAY-NGERNTRA","40","1","14","26","3317 (Mon 12:00 - 13:50)                 3420 (Wed 12:00 - 13:50)","Fri 07-04-2017 16:00 - 17:50 [1303 - Lecture Room]"
"SCI","ICNS152 Southeast Asian Ecology 4(3-2-7)","02","master","Ramesh BOONRATANA","30","22","23","7","3305 (Tue 12:00 - 13:50)                 3306 (Thu 12:00 - 12:50)                 3306 (Thu 13:00 - 13:50)","Wed 05-04-2017 12:00 - 13:50 [Room-TBA]"
"HLD","ICPE117 Physical Education : Mind and Body 1(0-3-1)","02","master","Sumon PANLEARTKITSAKUL","20","20","20","0","(Mon 12:00 - 13:50)","[Room-TBA]"
"HLD","ICHM241 Introduction to Drawing 4(2-4-6)","02","master","Checksant GANGAKATE","20","18","18","2","1312 (Tue 13:00 - 14:00)                 1312 (Tue 14:00 - 16:00)                 1312 (Thu 13:00 - 14:00)                 1312 (Thu 14:00 - 16:00)","[Room-TBA]"
"SCI","ICCH221 Organic Chemistry I 4(4-0-8)","02","master","Pakorn BOVONSOMBAT","40","12","12","28","1406 (Tue 08:00 - 09:50)                 1504 (Wed 08:00 - 09:50)","Wed 05-04-2017 12:00 - 13:50 [Room-TBA]"
"THM","ICHT200 Business Communication 4(4-0-8)","02","master","Toby To Wai-Tak","25","18","19","6","1315 (Mon 14:00 - 15:50)                 1315 (Wed 14:00 - 15:50)","[Room-TBA]"
"THM","ICBC201 Business Communication I 4(4-0-8)","02","joint","Toby To Wai-Tak","1","1","1","0","1315 (Mon 14:00 - 15:50)                 1315 (Wed 14:00 - 15:50)","[Room-TBA]"
"BBA","ICMB212 Managerial Accounting 4(4-0-8)","02","master","Phassawan SUNTRARUK","40","39","39","1","1403 (Mon 08:00 - 09:50)                 1403 (Wed 08:00 - 09:50)","Sun 09-04-2017 09:00 - 11:30 [1418 - 1418]"
"HLD","ICPE105 Physical Education : Swimming 1(0-3-1)","02","master","Mahattana KANCHANAPAKORN","15","14","14","1","(Tue 16:00 - 17:50)","[Room-TBA]"
"BBA","ICMB281 Computers in Management 4(4-0-8)","02","joint","Veera BHATIASEVI","40","1","1","2","1512 (Mon 16:00 - 17:50)                 1512 (Wed 16:00 - 17:50)","Sat 08-04-2017 15:00 - 18:00 [1513 - Computer Lab]"
"BBA","ICMI359 Strategic Human Resource Management 4(4-0-8)","02","master","Malinvisa SAKDIYAKORN","40","39","39","1","1406 (Tue 14:00 - 15:50)                 1406 (Thu 14:00 - 15:50)","Mon 03-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICHM225 The Western Classical Ideal 4(4-0-8)","02","master","York Harry GUNTHER","30","28","28","2","3315 (Mon 18:00 - 19:50)                 3315 (Wed 18:00 - 19:50)","Mon 03-04-2017 18:00 - 19:50 [1419 - 1419]"
"BBA","ICMB432 Business Ethics 4(4-0-8)","02","master","Roman MEINHOLD","40","35","41","-1","2308 (Mon 14:00 - 15:50)                 2308 (Wed 14:00 - 15:50)","[Room-TBA]"
"BBA","ICMB204 Macroeconomics 4(4-0-8)","02","master","Rattakarn KOMONRAT","43","41","42","1","1404 (Tue 10:00 - 11:50)                 1404 (Thu 10:00 - 11:50)","Sat 08-04-2017 12:00 - 13:50 [1418 - 1418]"
"HLD","ICLC212 Pre-Intermediate Chinese II 4(4-0-8)","02","master","Puvisa QIUJUAN","20","9","10","10","5209 (Mon 14:00 - 15:50)                 5209 (Wed 14:00 - 15:50)","Tue 04-04-2017 12:00 - 13:50 [1419 - 1419]"
"HLD","ICPE109 Physical Education : Social Dance 1(0-3-1)","02","master","Pisit INTALANGKHANAPONG","24","24","24","0","3407 (Tue 14:00 - 15:50)","[Room-TBA]"
"HLD","ICLG212 Pre-Intermediate German II 4(4-0-8)","02","master","Thomas KREY","20","12","21","-1","5209 (Mon 16:00 - 17:50)                 5209 (Wed 16:00 - 17:50)","Tue 04-04-2017 14:00 - 15:50 [Room-TBA]"
"FAA","ICTP327 Independent Study in Television Production 4(0-8-4)","02","master","Panpilas PITAYANON","20","2","2","18","","[Room-TBA]"
"SCI","EGCI232 Engineering Electronics 4(3-2-7)","02","master","Somnida BHATRANAND","20","16","16","4","Special (Mon 09:00 - 11:50)                 Special (Thu 10:00 - 11:50)","Mon 03-04-2017 09:00 - 11:50 [Room-TBA]"
"THM","ICHT331 Business Law 4(4-0-8)","02","joint","Quanvari PRAMOJ NA AYUDHAYA","35","25","25","10","1504 (Tue 14:00 - 15:50)                 3409 (Thu 14:00 - 15:50)","Wed 05-04-2017 16:00 - 17:50 [Room-TBA]"
"HLD","ICPE103 Physical Education : Golf 1(0-3-1)","02","master","Adichai NIRATTISAYANGKOOL","15","15","15","0","(Tue 10:00 - 11:50)","[Room-TBA]"
"THM","ICHT371 Sustainable Development for Hospitality and Tourism Industry 4(3-2-7)","02","joint","Nadezda SOROKINA","35","10","10","25","2303 (Thu 14:00 - 16:50)","Wed 05-04-2017 18:00 - 19:50 [Room-TBA]"
"THM","ICTM420 Sustainable Tourism Studies 4(3-2-7)","02","master","Nadezda SOROKINA","40","1","11","29","2303 (Thu 14:00 - 16:50)","Wed 05-04-2017 18:00 - 19:50 [Room-TBA]"
"BBA","ICMI360 Leadership Development 4(4-0-8)","02","joint","Chairawee ANAMTHAWAT-KIERIG","40","4","4","1","2308 (Tue 10:00 - 11:50)                 2308 (Thu 10:00 - 11:50)","Wed 05-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICHM140 Elementary Art Theory 4(4-0-8)","02","master","Paisid ARAMPHONGPHAN","30","29","29","1","3305 (Mon 14:00 - 15:50)                 3305 (Wed 14:00 - 15:50)","Wed 05-04-2017 14:00 - 15:50 [Room-TBA]"
"BBA","ICMI361 Global Leadership Development 4(4-0-8)","02","master","Chairawee ANAMTHAWAT-KIERIG","44","39","43","1","2308 (Tue 10:00 - 11:50)                 2308 (Thu 10:00 - 11:50)","Wed 05-04-2017 10:00 - 11:50 [Room-TBA]"
"SCI","ICNS100 Intensive Mathematics 0(4-0-0)","02","master","Pachara CHAISURIYA","25","21","21","4","3302 (Tue 10:00 - 11:50)                 3306 (Thu 10:00 - 11:50)","Sat 08-04-2017 08:00 - 09:50 [Room-TBA]"
"BBA","ICMB372 Financial Management 4(4-0-8)","02","joint","Benjalux SAKUNASINGHA","40","7","7","4","1419 (Tue 10:00 - 11:50)                 1419 (Thu 10:00 - 11:50)","Wed 05-04-2017 12:00 - 13:50 [Room-TBA]"
"SCI","ICMA106 Calculus I 4(4-0-8)","02","joint","Chatchawan Panraksa","25","5","5","10","3303 (Tue 10:00 - 11:50)                 3303 (Fri 10:00 - 11:50)","Sat 08-04-2017 10:00 - 11:50 [Room-TBA]"
"BBA","ICMB234 Management and Organizational Behavior 4(4-0-8)","02","master","Jesper DOPPING","40","38","38","2","2308 (Tue 14:00 - 15:50)                 2308 (Thu 14:00 - 15:50)","Wed 05-04-2017 13:00 - 15:50 [1513 - Computer Lab]"
"BBA","ICMB211 Fundamental Financial Accounting 4(4-0-8)","02","master","Thanyawee PRATOOMSUWAN","45","45","45","0","1407 (Mon 10:00 - 11:50)                 1407 (Fri 10:00 - 11:50)","Wed 05-04-2017 16:00 - 17:50 [1403 - 1403]"
"HLD","ICML111 Elementary Japanese I 4(4-0-8)","02","master","Jun TOYAMA","20","17","17","3","5301 (Tue 10:00 - 11:50)                 5301 (Thu 10:00 - 11:50)","Tue 04-04-2017 08:00 - 09:50 [Room-TBA]"
"HLD","ICHL123 Chinese III for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Prateep WONGVERAYUT","14","3","3","1","3421 (Mon 14:00 - 15:50)                 3421 (Wed 14:00 - 15:50)","Tue 04-04-2017 12:00 - 13:50 [Room-TBA]"
"HLD","ICML121 Elementary French I 4(4-0-8)","02","master","Agnieszka ATTHASIT","20","8","11","9","5210 (Mon 10:00 - 11:50)                 5210 (Wed 10:00 - 11:50)","Tue 04-04-2017 08:00 - 09:50 [Room-TBA]"
"THM","ICIH403 Revenue Management in Hospitality Industry 4(4-0-8)","02","master","Sarinya Sungkatavat","25","11","11","14","3420 (Tue 12:00 - 13:50)                 3420 (Tue 14:00 - 15:50)","[Room-TBA]"
"HLD","ICML112 Elementary Japanese II 4(4-0-8)","02","master","Jun TOYAMA","20","12","13","7","5301 (Tue 12:00 - 13:50)                 5301 (Thu 12:00 - 13:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICHL142 French II for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Adrien Peigne","20","4","4","6","5211 (Mon 16:00 - 17:50)                 5211 (Wed 16:00 - 17:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"BBA","ICMK424 Global Marketing Strategy 4(4-0-8)","02","master","Viriya Taecharungroj","40","37","37","3","1402 (Wed 16:00 - 17:50)                 1402 (Fri 16:00 - 17:50)","[Room-TBA]"
"SS","ICSS112 Introduction to Psychology 4(4-0-8)","02","master","Jaruwan SAKULKU","40","36","36","4","3302 (Tue 08:00 - 09:50)                 3302 (Thu 08:00 - 09:50)","Fri 07-04-2017 18:00 - 19:50 [1314 - Lecture Room]"
"BBA","ICMB371 Business Finance 4(4-0-8)","02","master","Sirithida CHAIVISUTTANGKUN","40","41","41","-1","1502 (Tue 14:00 - 15:50)                 1502 (Thu 14:00 - 15:50)","Fri 07-04-2017 14:00 - 16:50 [1315 - Lecture Room]"
"SCI","ICNS104 Fundamental Statistics 4(4-0-8)","02","master","Prakash CHANCHANA","25","25","25","0","1304 (Tue 18:00 - 19:50)                 1304 (Thu 18:00 - 19:50)","Sat 08-04-2017 12:00 - 13:50 [1302 - Lecture Room]"
"SCI","ICNS153 Ecosystems and Natural Resources 4(3-2-7)","02","master","Laird ALLAN","30","28","28","2","1504 (Tue 10:00 - 11:50)                 1302 (Thu 10:00 - 10:50)                 1302 (Thu 11:00 - 11:50)","Fri 07-04-2017 12:00 - 13:50 [1503 - Lecture Room]"
"BBA","ICMB351 International Business Management 4(4-0-8)","02","master","Thanita Buranatrakul","40","39","39","1","1402 (Wed 10:00 - 11:50)                 1402 (Fri 10:00 - 11:50)","Fri 07-04-2017 16:00 - 17:50 [1419 - 1419]"
"BBA","ICMB201 Macroeconomics 4(4-0-8)","02","joint","Rattakarn KOMONRAT","40","1","1","1","1404 (Tue 10:00 - 11:50)                 1404 (Thu 10:00 - 11:50)","Sat 08-04-2017 12:00 - 13:50 [1418 - 1418]"
"HLD","ICHL145 French V for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Adrien Peigne","20","3","3","12","5211 (Mon 14:00 - 15:50)                 5211 (Wed 14:00 - 15:50)","[Room-TBA]"
"THM","ICIH322 Consumer Behavior in Hospitality Industry 4(4-0-8)","02","joint","Gary WADDELL","32","8","8","24","1305 (Tue 08:00 - 09:50)                 1513 (Thu 08:00 - 09:50)","Wed 05-04-2017 18:00 - 19:50 [Room-TBA]"
"BBA","ICMB365 Management Science 4(4-0-8)","02","master","Ornlatcha SIVARAK","40","27","40","0","1512 (Tue 10:00 - 11:50)                 1512 (Thu 10:00 - 11:50)","Fri 07-04-2017 08:00 - 09:50 [1512 - Computer Lab]"
"BBA","ICMB203 Microeconomics 4(4-0-8)","02","master","Pandej CHINTRAKARN","40","38","40","0","1314 (Mon 14:00 - 15:50)                 1314 (Wed 14:00 - 15:50)","Mon 03-04-2017 18:00 - 19:50 [Room-TBA]"
"HLD","ICHL102 Japanese II for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Jun TOYAMA","20","1","1","7","5301 (Tue 12:00 - 13:50)                 5301 (Thu 12:00 - 13:50)","Tue 04-04-2017 10:00 - 11:50 [Room-TBA]"
"THM","ICTM475 Introduction to Culinary Arts 4(3-2-7)","02","master","Rangson CHIRAKRANON","24","2","24","0","(Tue 11:00 - 13:50)                  (Tue 14:00 - 15:50)","[Room-TBA]"
"HLD","ICCM105 Intermediate English Communication II 4(4-0-8)","02","master","Anjana SUKUMARY","20","20","20","0","5313 (Mon 10:00 - 11:50)                 5313 (Wed 10:00 - 11:50)","Mon 03-04-2017 10:00 - 11:50 [1304 - Lecture Room]"
"FAA","ICCD243 Design Technology II 4(0-8-4)","02","master","Nathakorn OURAIRAT","20","10","10","10","E3212 (Wed 08:00 - 12:00)                 E3212 (Wed 13:00 - 17:00)","[Room-TBA]"
"BBA","ICMK319 New Product Management 4(4-0-8)","02","master","Olimpia A. RACELA","40","39","39","1","1418 (Mon 12:00 - 13:50)                 1418 (Mon 14:00 - 15:50)","Wed 05-04-2017 12:00 - 13:50 [1419 - 1419]"
"HLD","ICML160 Introduction to Thai Language and Culture 4(4-0-8)","02","master","Wimonsiri Hemtanon","20","20","20","0","3412 (Mon 10:00 - 11:50)                 3410 (Wed 10:00 - 11:50)","[Room-TBA]"
"SCI","ICNS103 Fundamental  Mathematics 4(4-0-8)","02","master","Charnchai PLUEMPITIWIRIYAWEJ","25","25","25","0","1302 (Wed 14:00 - 15:50)                 1302 (Fri 14:00 - 15:50)","Sat 08-04-2017 14:00 - 15:50 [1315 - Lecture Room]"
"HLD","ICML142 Elementary Spanish II 4(4-0-8)","02","master","Leire Alejaldre Biel","20","19","20","0","5207 (Mon 12:00 - 13:50)                 5207 (Wed 12:00 - 13:50)","Tue 04-04-2017 10:00 - 11:50 [1419 - 1419]"
"HLD","ICLS212 Pre-intermediate Spanish II 4(4-0-8)","02","master","Leire Alejaldre Biel","20","10","20","0","5208 (Tue 10:00 - 11:50)                 5208 (Thu 10:00 - 11:50)","Tue 04-04-2017 14:00 - 15:50 [Room-TBA]"
"HLD","ICHE101 Health Education 2(2-0-4)","02","master","Vorodom VIRAVONG","40","40","40","0","3304 (Wed 12:00 - 13:50)","Sun 09-04-2017 10:00 - 11:50 [Room-TBA]"
"HLD","ICHL183 Spanish III for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Maria GUERRERO","20","5","5","2","5207 (Tue 12:00 - 13:50)                 5207 (Thu 12:00 - 13:50)","Tue 04-04-2017 12:00 - 13:50 [1404 - Lecture Room]"
"HLD","ICHL141 French I for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Agnieszka ATTHASIT","20","3","3","9","5210 (Mon 10:00 - 11:50)                 5210 (Wed 10:00 - 11:50)","Tue 04-04-2017 08:00 - 09:50 [Room-TBA]"
"THM","ICIH402 Entrepreneurship in Hospitality Business 4(4-0-8)","02","joint","Sompong AMNUAY-NGERNTRA","30","13","13","17","3317 (Mon 12:00 - 13:50)                 3420 (Wed 12:00 - 13:50)","Fri 07-04-2017 16:00 - 17:50 [1303 - Lecture Room]"
"SCI","ICNS121 Fundamental Chemistry 4(4-0-8)","02","master","Edward GRAND","30","14","14","16","1304 (Tue 10:00 - 11:50)                 1304 (Thu 10:00 - 11:50)","Mon 03-04-2017 16:00 - 17:50 [Room-TBA]"
"SCI","ICNS132 Principles of Physics 4(4-0-8)","02","joint","Piti Ongmongkolkul","25","12","12","-5","1504 (Mon 14:00 - 15:50)                 1305 (Wed 14:00 - 15:50)","Sun 09-04-2017 09:00 - 11:50 [Room-TBA]"
"SCI","ICNS142 Introduction to Internet Technology 4(3-2-7)","02","master","Poramin BHEGANAN","25","25","25","0","1512 (Tue 14:00 - 15:50)                 1512 (Thu 14:00 - 14:50)                 1512 (Thu 15:00 - 15:50)","Tue 04-04-2017 16:00 - 17:50 [Room-TBA]"
"HLD","ICHL185 Spanish V for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Leire Alejaldre Biel","20","10","10","0","5208 (Tue 10:00 - 11:50)                 5208 (Thu 10:00 - 11:50)","Tue 04-04-2017 14:00 - 15:50 [Room-TBA]"
"SS","ICSA202 Ecology of Southeast Asia 4(3-2-7)","02","joint","Ramesh BOONRATANA","5","1","1","4","3305 (Tue 12:00 - 13:50)                 3306 (Thu 12:00 - 12:50)                 3306 (Thu 13:00 - 13:50)","Wed 05-04-2017 12:00 - 13:50 [Room-TBA]"
"SCI","ICPY132 Principles of Physics 4(4-0-8)","02","master","Piti Ongmongkolkul","25","18","30","-5","1504 (Mon 14:00 - 15:50)                 1305 (Wed 14:00 - 15:50)","Sun 09-04-2017 09:00 - 11:50 [Room-TBA]"
"BBA","ICMB341 Business Law 4(4-0-8)","02","master","Alessandro STASI","40","40","40","0","1417 (Mon 10:00 - 11:50)                 1417 (Fri 10:00 - 11:50)","Wed 05-04-2017 10:00 - 11:50 [1419 - 1419]"
"HLD","ICME100 English Resources Skills 0(4-0-0)","02","master","Russell PATTINSON","20","20","20","0","5307 (Mon 14:00 - 15:50)                 5307 (Wed 14:00 - 15:50)","Mon 03-04-2017 08:00 - 09:50 [Room-TBA]"
"SCI","ICNS015 Refresher Mathematics (Non - Credits) 0(4-0-0)","02","master","Duangkamon BAOWAN","25","11","11","14","3305 (Mon 10:00 - 11:50)                 3305 (Wed 10:00 - 11:50)","Sat 08-04-2017 10:00 - 11:50 [1314 - Lecture Room]"
"THM","ICIH411 Culinary Management 4(3-2-7)","02","joint","Rangson CHIRAKRANON","22","22","22","0","(Tue 11:00 - 13:50)                  (Tue 14:00 - 15:50)","[Room-TBA]"
"SCI","ICCH454 Seminar in Chemistry 2(2-0-4)","02","master","Pakorn BOVONSOMBAT","30","3","3","27","1309 (Tue 10:00 - 11:50)","[Room-TBA]"
"SS","ICSS114 Introduction to Economics 4(4-0-8)","02","master","Ruchi AGARWAL","40","37","37","3","1502 (Tue 10:00 - 11:50)                 1504 (Thu 10:00 - 11:50)","Fri 07-04-2017 12:00 - 13:50 [Room-TBA]"
"THM","ICTM352 Tourism and Hospitality Law 4(4-0-8)","02","master","Quanvari PRAMOJ NA AYUDHAYA","40","1","26","14","1504 (Tue 14:00 - 15:50)                 3409 (Thu 14:00 - 15:50)","Wed 05-04-2017 16:00 - 17:50 [Room-TBA]"
"BBA","ICMI357 Business Communication 4(4-0-8)","02","joint","Xiaoxia WEI","40","3","3","1","1315 (Tue 10:00 - 11:50)                 1315 (Thu 10:00 - 11:50)","Fri 07-04-2017 18:00 - 19:50 [1417 - Lecture Room]"
"HLD","ICHM143 Introduction to Photography 4(2-4-6)","02","master","Jack PICONE","20","20","20","0","P319 (Wed 10:00 - 12:00)                 P319 (Wed 12:00 - 16:00)","[Room-TBA]"
"HLD","ICCM104 Intermediate English Communication I 4(4-0-8)","02","master","Analiza AMURAO","20","19","19","1","5309 (Mon 10:00 - 11:50)                 5309 (Wed 10:00 - 11:50)","Mon 03-04-2017 12:00 - 13:50 [1305 - Lecture Room]"
"BBA","ICMB492 Practical Business Training - Off Campus 12(0-36-12)","02","master","Thanarerk THANAKIJSOMBAT","19","18","18","1","","[Room-TBA]"
"HLD","ICPE102 Physical Education : Basketball 1(0-3-1)","02","master","Roman CHIRASANTA","25","24","24","1","(Wed 14:00 - 15:50)","[Room-TBA]"
"BBA","ICMB202 Microeconomics 4(4-0-8)","02","joint","Pandej CHINTRAKARN","40","2","2","0","1314 (Mon 14:00 - 15:50)                 1314 (Wed 14:00 - 15:50)","Mon 03-04-2017 18:00 - 19:50 [Room-TBA]"
"BBA","ICMB363 Management Science 4(4-0-8)","02","joint","Ornlatcha SIVARAK","40","13","13","0","1512 (Tue 10:00 - 11:50)                 1512 (Thu 10:00 - 11:50)","Fri 07-04-2017 08:00 - 09:50 [1512 - Computer Lab]"
"BBA","ICBE343 Intermediate Macroeconomics 4(4-0-8)","02","master","Varang Wiriyawit","40","27","27","13","1306 (Mon 14:00 - 15:50)                 1306 (Wed 14:00 - 15:50)","Wed 05-04-2017 16:00 - 17:50 [1405 - Lecture Room]"
"HLD","ICHM106 Moral and Ethical Studies 4(4-0-8)","02","master","Gerald MOSHAMMER","30","27","27","3","3306 (Tue 16:00 - 17:50)                 1405 (Thu 16:00 - 17:50)","Mon 03-04-2017 12:00 - 13:50 [1419 - 1419]"
"HLD","ICEG250 Introduction to Linguistics 4(4-0-8)","02","master","Julien Robert Phillippe HARDY","13","20","20","-7","5310 (Tue 14:00 - 15:50)                 5310 (Thu 14:00 - 15:50)","Mon 03-04-2017 16:00 - 17:50 [Room-TBA]"
"FAA","ICMC206 Basic Acting 4(0-8-4)","02","master","Wankwan POLACHAN","20","13","13","7","E3204 (Thu 08:00 - 12:00)                 E3204 (Thu 13:00 - 17:00)","[Room-TBA]"
"SS","ICSO401 Independent Study in the Social Sciences 4(4-0-8)","02","master","Marja-Leena HEIKKILA-HORN","5","1","1","4","","[Room-TBA]"
"FAA","ICTP101 Introduction to Television 4(4-0-8)","02","master","Jin NI","5","3","3","2","P315 (Thu 10:00 - 12:00)                 P315 (Thu 13:00 - 15:00)","[Room-TBA]"
"HLD","ICLC312 Intermediate Chinese II 4(4-0-8)","02","master","Zhang BO","20","17","20","0","3421 (Mon 12:00 - 13:50)                 3421 (Wed 12:00 - 13:50)","Tue 04-04-2017 14:00 - 15:50 [Room-TBA]"
"SCI","ICNS161 General Geology 4(3-2-7)","02","master","Prinya PUTTHAPIBAN","30","30","30","0","1314 (Sat 08:00 - 10:50)                 1314 (Sat 11:00 - 11:50)","Tue 04-04-2017 16:00 - 17:50 [1419 - 1419]"
"THM","ICHT214 Business Economics 4(4-0-8)","02","joint","Veerisa CHOTIYAPUTTA","35","10","10","25","1305 (Sat 08:00 - 09:50)                 1305 (Sat 10:00 - 11:50)","[Room-TBA]"
"SCI","ICBI202 Integrated Laboratory in Biological Sciences II 2(0-4-2)","02","master","Patsarin RODPOTHONG","25","2","2","23","1506 (Tue 10:00 - 13:50)","Tue 04-04-2017 10:00 - 11:50 [3302 - Lecture Room]"
"BBA","ICMF375 Multinational Corporate Finance 4(4-0-8)","02","master","Aman SAGGU","40","40","40","0","1402 (Tue 14:00 - 15:50)                 1402 (Thu 14:00 - 15:50)","Mon 03-04-2017 08:00 - 09:50 [Room-TBA]"
"HLD","ICHL128 Chinese VIII for Hospitality and Tourism Industry 4(4-0-8)","02","joint","Zhang BO","20","3","3","0","3421 (Mon 12:00 - 13:50)                 3421 (Wed 12:00 - 13:50)","Tue 04-04-2017 14:00 - 15:50 [Room-TBA]"
"BBA","ICMI454 International Logistics Management 4(4-0-8)","02","master","Ploy SUDON","40","40","40","0","1303 (Fri 08:00 - 09:50)                 1303 (Fri 10:00 - 11:50)","Fri 07-04-2017 12:00 - 13:50 [1419 - 1419]"
"THM","ICIH341 Information Technology in Hospitality Industry 4(4-0-8)","02","joint","Laddawan JIANVITTAYAKIT","28","12","12","16","1404 (Tue 16:00 - 17:50)                 1512 (Thu 16:00 - 17:50)","Mon 03-04-2017 16:00 - 17:50 [Room-TBA]"
"HLD","ICPE115 Self Defense 1(0-3-1)","02","master","Rathakrit Songsumphao","14","13","13","1","(Mon 16:00 - 17:50)","[Room-TBA]"
"THM","ICHT232 Introduction to Hospitality and Tourism Industry 4(3-2-7)","02","master","Pisut YUWANOND","40","22","22","18","3315 (Wed 10:00 - 12:50)","Wed 05-04-2017 18:00 - 19:50 [Room-TBA]"
"THM","ICMS301 Management and Organizational Behavior 4(4-0-8)","02","master","Michael NAGLIS","40","1","8","32","3420 (Tue 08:00 - 09:50)                 3420 (Thu 08:00 - 09:50)","Fri 07-04-2017 10:00 - 11:50 [Room-TBA]"
"THM","ICHT213 Corporate Finance 4(4-0-8)","02","joint","Chanin YOOPETCH","35","15","15","20","1405 (Wed 12:00 - 13:50)                 1405 (Wed 14:00 - 15:50)","Fri 07-04-2017 08:00 - 09:50 [Room-TBA]"
"FAA","ICCD241 Typography II 4(0-8-4)","02","master","Nuntapon SRISONG","20","14","14","6","3316 (Sat 08:00 - 12:00)                 3316 (Sat 13:00 - 17:00)","[Room-TBA]"
"SCI","ICSC302 Scientific Research and Presentations 4(4-0-8)","02","master","Chulathida CHOMCHAI","20","11","11","9","3302 (Tue 14:00 - 15:50)                 3302 (Thu 14:00 - 15:50)","[Room-TBA]"
"SS","ICSS113 Introduction to Sociology 4(4-0-8)","02","master","Eugene JONES","40","36","36","4","1303 (Tue 14:00 - 15:50)                 1303 (Thu 14:00 - 15:50)","Wed 05-04-2017 10:00 - 11:50 [1405 - Lecture Room]"
"HLD","ICHM107 Introduction to Asian Philosophy 4(4-0-8)","02","master","Pathompong BODHIPRASIDDHINAND","30","28","28","2","3422 (Tue 10:00 - 11:50)                 3422 (Thu 10:00 - 11:50)","Sun 09-04-2017 08:00 - 09:50 [Room-TBA]"
